"NOTICEID","REFERENCENUMBER","DATEPUBLISHED","VALUEMIN","VALUEMAX","STATUS","URL","ORG_NAME","ORG_CONTACTEMAIL","TITLE","DESCRIPTION","NOTICETYPE","REGION","NOTICE_STATE","NOTICE_STATE_CHANGE_DATE","CLASSIFICATION","NUM_DOCS"
"1705684","BFCCB/1340","15/01/2015","750000.00","1200000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705684/","","DefComrclCC-JFC2a2@mod.uk","BFCCB/1340 - Procurement of Vehicles for British Forces Cyprus (BFC)","Procurement of Vehicles for British Forces Cyprus (BFC).","Published Tender Doc Set","European Union","Published","15/01/2015","34100000","1",
"1702223","PO 6984","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702223/","","enquiry@dfid.gov.uk","DFID 6984 External Impact Evaluation of AgResults: Innovation in Research and Delivery","Evaluation of the AgResults pilots provides unique learning opportunities – on pull mechanisms, small business development, and sustainability. The learning agenda is distinct from that in ‘development business as usual’, because the initiative itse","Published Tender Doc Set","East Kilbride East","Published","15/01/2015","75211200","1",
"1702246","PO 7014","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702246/","","enquiry@dfid.gov.uk","DFID 7014 Consultancy Services for Climate Friendly Interventions, Policies, Capacity Building and Sustainable Governance","DFID’s support to KMC requires consultancy service to help KMC in achieving low carbon and climate resilient development in the city. The specific objective under this Terms of Reference is to provide technical assistance to KMC on following climate","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1702253","PO 6686","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702253/","","enquiry@dfid.gov.uk","DFID 6686 – Effective Education Systems Programme Directorate","The Department for International Development (DFID) is seeking to contract an organisation to establish a Programme Directorate that will manage and implement the large scale, multi-country research programme on Effective Education Systems. Up to £2","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1702256","PO 6704","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702256/","","enquiry@dfid.gov.uk","DFID 6704 - Health System Strengthening for Urban Health in Bangladesh","The objective of the health system strengthening component is to provide focussed support to create a more harmonised and supportive environment for urban health through applying a systems approach as opposed to a project specific one. This will inc","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1702261","PO 6788","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702261/","","enquiry@dfid.gov.uk","DFID 6788 Transparency, Responsiveness, Accountability and Citizen Engagement (TRACE) Fund for Zimbabwe","These Terms of Reference refer to the contracted Service Provider as the SP and the organisations and actors receiving support and funding under this arrangement through the SP as the Implementing Partners (IPs) from here forth.","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1702262","PO 6816","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702262/","","enquiry@dfid.gov.uk","DFID 6816 Peace and Development Programme Economic Opportunities for Vulnerable Groups Component - Implementation","Ethiopia has made significant progress in poverty reduction, with 31% of the population living on less than $1.25 a day, down from 39% in 2005. However, this means that some 25 million people still live in extreme poverty. The bottom 40% have seen i","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1702274","PO 6836","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1702274/","","enquiry@dfid.gov.uk","DFID 6836 Mine Action Programme 2014-2016 Northern Laos","To release4 land previously considered hazardous from mines and ERW, and to provide MRE to communities at risk, with the aim of increasing security, enhancing livelihoods, and enabling broader humanitarian and development projects to be implemented ","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1703993","PO 6735","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1703993/","","enquiry@dfid.gov.uk","DFID 6735 Service Provider to manage Odisha Modernising Economy, Governance and Administration (OMEGA) Programme - Technical Assistance Support Team (TAST)
","The objective of the consultancy is to provide high quality technical and management support to the ongoing reform activities of GoO as per the operational plan for DoF, DoPC, DoI, DETET, DoPR and DoFS&amp;CW, &amp; other relevant GoO departments fo","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
"1704002","PO 6732","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1704002/","","enquiry@dfid.gov.uk","DFID 6732 Programme for Adolescent Girls in DRC (La Pepiniere)","The objective of the overall programme is to enable DFID and partners to deliver better results for women and girls by testing the assumption that investing more narrowly in economic outcomes for adolescent girls has a positive knock-on effect of im","Published Tender Doc Set","East Kilbride West","Published","15/01/2015","75211200","1",
